trial,choice,rate,noise,cumulativerate
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
1,0,0.1,0,0
2,0,0.1,0,0
3,0,0.1,0,0
4,0,0.1,0,0
5,0,0.1,0,0
6,0,0.1,0,0
7,0,0.1,0,0
8,0,0.1,0,0
9,1,0.1,0,0.1111111111111111
10,1,0.1,0,0.2
11,1,0.1,0,0.2727272727272727
12,0,0.1,0,0.25
13,1,0.1,0,0.3076923076923077
14,0,0.1,0,0.2857142857142857
15,0,0.1,0,0.26666666666666666
16,0,0.1,0,0.25
17,0,0.1,0,0.23529411764705882
18,0,0.1,0,0.2222222222222222
19,1,0.1,0,0.2631578947368421
20,0,0.1,0,0.25
21,0,0.1,0,0.23809523809523808
22,0,0.1,0,0.22727272727272727
23,0,0.1,0,0.21739130434782608
24,0,0.1,0,0.20833333333333334
25,1,0.1,0,0.24
26,0,0.1,0,0.23076923076923078
27,0,0.1,0,0.2222222222222222
28,0,0.1,0,0.21428571428571427
29,0,0.1,0,0.20689655172413793
30,0,0.1,0,0.2
31,0,0.1,0,0.1935483870967742
32,0,0.1,0,0.1875
33,0,0.1,0,0.18181818181818182
34,0,0.1,0,0.17647058823529413
35,0,0.1,0,0.17142857142857143
36,0,0.1,0,0.16666666666666666
37,0,0.1,0,0.16216216216216217
38,0,0.1,0,0.15789473684210525
39,1,0.1,0,0.1794871794871795
40,0,0.1,0,0.175
41,0,0.1,0,0.17073170731707318
42,0,0.1,0,0.16666666666666666
43,0,0.1,0,0.16279069767441862
44,0,0.1,0,0.1590909090909091
45,0,0.1,0,0.15555555555555556
46,0,0.1,0,0.15217391304347827
47,0,0.1,0,0.14893617021276595
48,0,0.1,0,0.14583333333333334
49,0,0.1,0,0.14285714285714285
50,0,0.1,0,0.14
51,0,0.1,0,0.13725490196078433
52,0,0.1,0,0.1346153846153846
53,0,0.1,0,0.1320754716981132
54,0,0.1,0,0.12962962962962962
55,0,0.1,0,0.12727272727272726
56,0,0.1,0,0.125
57,0,0.1,0,0.12280701754385964
58,0,0.1,0,0.1206896551724138
59,0,0.1,0,0.11864406779661017
60,0,0.1,0,0.11666666666666667
61,1,0.1,0,0.13114754098360656
62,1,0.1,0,0.14516129032258066
63,1,0.1,0,0.15873015873015872
64,1,0.1,0,0.171875
65,0,0.1,0,0.16923076923076924
66,0,0.1,0,0.16666666666666666
67,0,0.1,0,0.16417910447761194
68,0,0.1,0,0.16176470588235295
69,0,0.1,0,0.15942028985507245
70,0,0.1,0,0.15714285714285714
71,1,0.1,0,0.16901408450704225
72,0,0.1,0,0.16666666666666666
73,0,0.1,0,0.1643835616438356
74,0,0.1,0,0.16216216216216217
75,1,0.1,0,0.17333333333333334
76,0,0.1,0,0.17105263157894737
77,0,0.1,0,0.16883116883116883
78,0,0.1,0,0.16666666666666666
79,0,0.1,0,0.16455696202531644
80,0,0.1,0,0.1625
81,0,0.1,0,0.16049382716049382
82,0,0.1,0,0.15853658536585366
83,0,0.1,0,0.1566265060240964
84,0,0.1,0,0.15476190476190477
85,0,0.1,0,0.15294117647058825
86,0,0.1,0,0.1511627906976744
87,0,0.1,0,0.14942528735632185
88,0,0.1,0,0.14772727272727273
89,0,0.1,0,0.14606741573033707
90,0,0.1,0,0.14444444444444443
91,0,0.1,0,0.14285714285714285
92,0,0.1,0,0.14130434782608695
93,0,0.1,0,0.13978494623655913
94,0,0.1,0,0.13829787234042554
95,0,0.1,0,0.1368421052631579
96,0,0.1,0,0.13541666666666666
97,0,0.1,0,0.13402061855670103
98,0,0.1,0,0.1326530612244898
99,0,0.1,0,0.13131313131313133
100,0,0.1,0,0.13
101,0,0.1,0,0.12871287128712872
102,0,0.1,0,0.12745098039215685
103,0,0.1,0,0.1262135922330097
104,0,0.1,0,0.125
105,0,0.1,0,0.12380952380952381
106,0,0.1,0,0.12264150943396226
107,0,0.1,0,0.12149532710280374
108,0,0.1,0,0.12037037037037036
109,0,0.1,0,0.11926605504587157
110,0,0.1,0,0.11818181818181818
111,0,0.1,0,0.11711711711711711
112,0,0.1,0,0.11607142857142858
113,0,0.1,0,0.11504424778761062
114,0,0.1,0,0.11403508771929824
115,0,0.1,0,0.11304347826086956
116,0,0.1,0,0.11206896551724138
117,0,0.1,0,0.1111111111111111
118,0,0.1,0,0.11016949152542373
119,0,0.1,0,0.1092436974789916
120,0,0.1,0,0.10833333333333334
1,0,0.2,0,0
2,0,0.2,0,0
3,1,0.2,0,0.3333333333333333
4,0,0.2,0,0.25
5,0,0.2,0,0.2
6,0,0.2,0,0.16666666666666666
7,0,0.2,0,0.14285714285714285
8,0,0.2,0,0.125
9,0,0.2,0,0.1111111111111111
10,0,0.2,0,0.1
11,0,0.2,0,0.09090909090909091
12,0,0.2,0,0.08333333333333333
13,0,0.2,0,0.07692307692307693
14,0,0.2,0,0.07142857142857142
15,0,0.2,0,0.06666666666666667
16,0,0.2,0,0.0625
17,0,0.2,0,0.058823529411764705
18,0,0.2,0,0.05555555555555555
19,0,0.2,0,0.05263157894736842
20,0,0.2,0,0.05
21,0,0.2,0,0.047619047619047616
22,0,0.2,0,0.045454545454545456
23,0,0.2,0,0.043478260869565216
24,0,0.2,0,0.041666666666666664
25,0,0.2,0,0.04
26,0,0.2,0,0.038461538461538464
27,0,0.2,0,0.037037037037037035
28,0,0.2,0,0.03571428571428571
29,0,0.2,0,0.034482758620689655
30,0,0.2,0,0.03333333333333333
31,1,0.2,0,0.06451612903225806
32,0,0.2,0,0.0625
33,0,0.2,0,0.06060606060606061
34,0,0.2,0,0.058823529411764705
35,0,0.2,0,0.05714285714285714
36,0,0.2,0,0.05555555555555555
37,0,0.2,0,0.05405405405405406
38,0,0.2,0,0.05263157894736842
39,0,0.2,0,0.05128205128205128
40,0,0.2,0,0.05
41,0,0.2,0,0.04878048780487805
42,0,0.2,0,0.047619047619047616
43,0,0.2,0,0.046511627906976744
44,0,0.2,0,0.045454545454545456
45,0,0.2,0,0.044444444444444446
46,0,0.2,0,0.043478260869565216
47,0,0.2,0,0.0425531914893617
48,0,0.2,0,0.041666666666666664
49,0,0.2,0,0.04081632653061224
50,1,0.2,0,0.06
51,0,0.2,0,0.058823529411764705
52,0,0.2,0,0.057692307692307696
53,0,0.2,0,0.05660377358490566
54,1,0.2,0,0.07407407407407407
55,0,0.2,0,0.07272727272727272
56,0,0.2,0,0.07142857142857142
57,0,0.2,0,0.07017543859649122
58,0,0.2,0,0.06896551724137931
59,0,0.2,0,0.06779661016949153
60,0,0.2,0,0.06666666666666667
61,0,0.2,0,0.06557377049180328
62,0,0.2,0,0.06451612903225806
63,0,0.2,0,0.06349206349206349
64,1,0.2,0,0.078125
65,1,0.2,0,0.09230769230769231
66,0,0.2,0,0.09090909090909091
67,0,0.2,0,0.08955223880597014
68,1,0.2,0,0.10294117647058823
69,0,0.2,0,0.10144927536231885
70,0,0.2,0,0.1
71,0,0.2,0,0.09859154929577464
72,0,0.2,0,0.09722222222222222
73,0,0.2,0,0.0958904109589041
74,0,0.2,0,0.0945945945945946
75,0,0.2,0,0.09333333333333334
76,0,0.2,0,0.09210526315789473
77,0,0.2,0,0.09090909090909091
78,0,0.2,0,0.08974358974358974
79,0,0.2,0,0.08860759493670886
80,0,0.2,0,0.0875
81,0,0.2,0,0.08641975308641975
82,0,0.2,0,0.08536585365853659
83,0,0.2,0,0.08433734939759036
84,0,0.2,0,0.08333333333333333
85,0,0.2,0,0.08235294117647059
86,0,0.2,0,0.08139534883720931
87,1,0.2,0,0.09195402298850575
88,0,0.2,0,0.09090909090909091
89,0,0.2,0,0.0898876404494382
90,1,0.2,0,0.1
91,0,0.2,0,0.0989010989010989
92,0,0.2,0,0.09782608695652174
93,1,0.2,0,0.10752688172043011
94,0,0.2,0,0.10638297872340426
95,0,0.2,0,0.10526315789473684
96,1,0.2,0,0.11458333333333333
97,0,0.2,0,0.1134020618556701
98,0,0.2,0,0.11224489795918367
99,0,0.2,0,0.1111111111111111
100,0,0.2,0,0.11
101,1,0.2,0,0.1188118811881188
102,0,0.2,0,0.11764705882352941
103,1,0.2,0,0.1262135922330097
104,0,0.2,0,0.125
105,0,0.2,0,0.12380952380952381
106,0,0.2,0,0.12264150943396226
107,0,0.2,0,0.12149532710280374
108,0,0.2,0,0.12037037037037036
109,0,0.2,0,0.11926605504587157
110,0,0.2,0,0.11818181818181818
111,0,0.2,0,0.11711711711711711
112,1,0.2,0,0.125
113,0,0.2,0,0.12389380530973451
114,0,0.2,0,0.12280701754385964
115,0,0.2,0,0.12173913043478261
116,1,0.2,0,0.12931034482758622
117,0,0.2,0,0.1282051282051282
118,1,0.2,0,0.13559322033898305
119,0,0.2,0,0.13445378151260504
120,0,0.2,0,0.13333333333333333
1,1,0.30000000000000004,0,1
2,0,0.30000000000000004,0,0.5
3,0,0.30000000000000004,0,0.3333333333333333
4,0,0.30000000000000004,0,0.25
5,0,0.30000000000000004,0,0.2
6,0,0.30000000000000004,0,0.16666666666666666
7,0,0.30000000000000004,0,0.14285714285714285
8,0,0.30000000000000004,0,0.125
9,0,0.30000000000000004,0,0.1111111111111111
10,0,0.30000000000000004,0,0.1
11,0,0.30000000000000004,0,0.09090909090909091
12,0,0.30000000000000004,0,0.08333333333333333
13,0,0.30000000000000004,0,0.07692307692307693
14,0,0.30000000000000004,0,0.07142857142857142
15,0,0.30000000000000004,0,0.06666666666666667
16,1,0.30000000000000004,0,0.125
17,0,0.30000000000000004,0,0.11764705882352941
18,0,0.30000000000000004,0,0.1111111111111111
19,0,0.30000000000000004,0,0.10526315789473684
20,0,0.30000000000000004,0,0.1
21,0,0.30000000000000004,0,0.09523809523809523
22,0,0.30000000000000004,0,0.09090909090909091
23,0,0.30000000000000004,0,0.08695652173913043
24,0,0.30000000000000004,0,0.08333333333333333
25,0,0.30000000000000004,0,0.08
26,0,0.30000000000000004,0,0.07692307692307693
27,0,0.30000000000000004,0,0.07407407407407407
28,0,0.30000000000000004,0,0.07142857142857142
29,0,0.30000000000000004,0,0.06896551724137931
30,0,0.30000000000000004,0,0.06666666666666667
31,1,0.30000000000000004,0,0.0967741935483871
32,0,0.30000000000000004,0,0.09375
33,0,0.30000000000000004,0,0.09090909090909091
34,0,0.30000000000000004,0,0.08823529411764706
35,0,0.30000000000000004,0,0.08571428571428572
36,0,0.30000000000000004,0,0.08333333333333333
37,0,0.30000000000000004,0,0.08108108108108109
38,0,0.30000000000000004,0,0.07894736842105263
39,1,0.30000000000000004,0,0.10256410256410256
40,1,0.30000000000000004,0,0.125
41,1,0.30000000000000004,0,0.14634146341463414
42,1,0.30000000000000004,0,0.16666666666666666
43,0,0.30000000000000004,0,0.16279069767441862
44,0,0.30000000000000004,0,0.1590909090909091
45,0,0.30000000000000004,0,0.15555555555555556
46,0,0.30000000000000004,0,0.15217391304347827
47,0,0.30000000000000004,0,0.14893617021276595
48,0,0.30000000000000004,0,0.14583333333333334
49,0,0.30000000000000004,0,0.14285714285714285
50,0,0.30000000000000004,0,0.14
51,1,0.30000000000000004,0,0.1568627450980392
52,0,0.30000000000000004,0,0.15384615384615385
53,1,0.30000000000000004,0,0.16981132075471697
54,0,0.30000000000000004,0,0.16666666666666666
55,0,0.30000000000000004,0,0.16363636363636364
56,0,0.30000000000000004,0,0.16071428571428573
57,0,0.30000000000000004,0,0.15789473684210525
58,0,0.30000000000000004,0,0.15517241379310345
59,0,0.30000000000000004,0,0.15254237288135594
60,0,0.30000000000000004,0,0.15
61,0,0.30000000000000004,0,0.14754098360655737
62,0,0.30000000000000004,0,0.14516129032258066
63,1,0.30000000000000004,0,0.15873015873015872
64,0,0.30000000000000004,0,0.15625
65,1,0.30000000000000004,0,0.16923076923076924
66,0,0.30000000000000004,0,0.16666666666666666
67,0,0.30000000000000004,0,0.16417910447761194
68,0,0.30000000000000004,0,0.16176470588235295
69,1,0.30000000000000004,0,0.17391304347826086
70,0,0.30000000000000004,0,0.17142857142857143
71,1,0.30000000000000004,0,0.18309859154929578
72,0,0.30000000000000004,0,0.18055555555555555
73,0,0.30000000000000004,0,0.1780821917808219
74,0,0.30000000000000004,0,0.17567567567567569
75,0,0.30000000000000004,0,0.17333333333333334
76,0,0.30000000000000004,0,0.17105263157894737
77,0,0.30000000000000004,0,0.16883116883116883
78,1,0.30000000000000004,0,0.1794871794871795
79,0,0.30000000000000004,0,0.17721518987341772
80,0,0.30000000000000004,0,0.175
81,0,0.30000000000000004,0,0.1728395061728395
82,1,0.30000000000000004,0,0.18292682926829268
83,0,0.30000000000000004,0,0.18072289156626506
84,0,0.30000000000000004,0,0.17857142857142858
85,0,0.30000000000000004,0,0.17647058823529413
86,0,0.30000000000000004,0,0.1744186046511628
87,0,0.30000000000000004,0,0.1724137931034483
88,0,0.30000000000000004,0,0.17045454545454544
89,0,0.30000000000000004,0,0.16853932584269662
90,0,0.30000000000000004,0,0.16666666666666666
91,0,0.30000000000000004,0,0.16483516483516483
92,0,0.30000000000000004,0,0.16304347826086957
93,1,0.30000000000000004,0,0.17204301075268819
94,0,0.30000000000000004,0,0.1702127659574468
95,0,0.30000000000000004,0,0.16842105263157894
96,0,0.30000000000000004,0,0.16666666666666666
97,0,0.30000000000000004,0,0.16494845360824742
98,0,0.30000000000000004,0,0.16326530612244897
99,1,0.30000000000000004,0,0.1717171717171717
100,1,0.30000000000000004,0,0.18
101,0,0.30000000000000004,0,0.1782178217821782
102,0,0.30000000000000004,0,0.17647058823529413
103,0,0.30000000000000004,0,0.17475728155339806
104,1,0.30000000000000004,0,0.18269230769230768
105,0,0.30000000000000004,0,0.18095238095238095
106,1,0.30000000000000004,0,0.18867924528301888
107,0,0.30000000000000004,0,0.18691588785046728
108,0,0.30000000000000004,0,0.18518518518518517
109,0,0.30000000000000004,0,0.1834862385321101
110,0,0.30000000000000004,0,0.18181818181818182
111,0,0.30000000000000004,0,0.18018018018018017
112,0,0.30000000000000004,0,0.17857142857142858
113,0,0.30000000000000004,0,0.17699115044247787
114,0,0.30000000000000004,0,0.17543859649122806
115,0,0.30000000000000004,0,0.17391304347826086
116,0,0.30000000000000004,0,0.1724137931034483
117,0,0.30000000000000004,0,0.17094017094017094
118,0,0.30000000000000004,0,0.1694915254237288
119,0,0.30000000000000004,0,0.16806722689075632
120,0,0.30000000000000004,0,0.16666666666666666
1,1,0.4,0,1
2,1,0.4,0,1
3,1,0.4,0,1
4,0,0.4,0,0.75
5,1,0.4,0,0.8
6,0,0.4,0,0.6666666666666666
7,1,0.4,0,0.7142857142857143
8,0,0.4,0,0.625
9,1,0.4,0,0.6666666666666666
10,0,0.4,0,0.6
11,0,0.4,0,0.5454545454545454
12,0,0.4,0,0.5
13,0,0.4,0,0.46153846153846156
14,0,0.4,0,0.42857142857142855
15,1,0.4,0,0.4666666666666667
16,0,0.4,0,0.4375
17,0,0.4,0,0.4117647058823529
18,1,0.4,0,0.4444444444444444
19,1,0.4,0,0.47368421052631576
20,1,0.4,0,0.5
21,0,0.4,0,0.47619047619047616
22,0,0.4,0,0.45454545454545453
23,0,0.4,0,0.43478260869565216
24,0,0.4,0,0.4166666666666667
25,1,0.4,0,0.44
26,1,0.4,0,0.46153846153846156
27,1,0.4,0,0.48148148148148145
28,1,0.4,0,0.5
29,0,0.4,0,0.4827586206896552
30,0,0.4,0,0.4666666666666667
31,1,0.4,0,0.4838709677419355
32,0,0.4,0,0.46875
33,1,0.4,0,0.48484848484848486
34,1,0.4,0,0.5
35,0,0.4,0,0.4857142857142857
36,0,0.4,0,0.4722222222222222
37,1,0.4,0,0.4864864864864865
38,0,0.4,0,0.47368421052631576
39,0,0.4,0,0.46153846153846156
40,0,0.4,0,0.45
41,1,0.4,0,0.4634146341463415
42,1,0.4,0,0.47619047619047616
43,0,0.4,0,0.46511627906976744
44,0,0.4,0,0.45454545454545453
45,0,0.4,0,0.4444444444444444
46,1,0.4,0,0.45652173913043476
47,0,0.4,0,0.44680851063829785
48,0,0.4,0,0.4375
49,0,0.4,0,0.42857142857142855
50,0,0.4,0,0.42
51,0,0.4,0,0.4117647058823529
52,0,0.4,0,0.40384615384615385
53,0,0.4,0,0.39622641509433965
54,0,0.4,0,0.3888888888888889
55,1,0.4,0,0.4
56,1,0.4,0,0.4107142857142857
57,0,0.4,0,0.40350877192982454
58,1,0.4,0,0.41379310344827586
59,1,0.4,0,0.423728813559322
60,1,0.4,0,0.43333333333333335
61,0,0.4,0,0.4262295081967213
62,1,0.4,0,0.43548387096774194
63,0,0.4,0,0.42857142857142855
64,0,0.4,0,0.421875
65,1,0.4,0,0.4307692307692308
66,1,0.4,0,0.4393939393939394
67,0,0.4,0,0.43283582089552236
68,1,0.4,0,0.4411764705882353
69,0,0.4,0,0.43478260869565216
70,0,0.4,0,0.42857142857142855
71,0,0.4,0,0.4225352112676056
72,0,0.4,0,0.4166666666666667
73,0,0.4,0,0.410958904109589
74,1,0.4,0,0.4189189189189189
75,0,0.4,0,0.41333333333333333
76,1,0.4,0,0.42105263157894735
77,0,0.4,0,0.4155844155844156
78,0,0.4,0,0.41025641025641024
79,0,0.4,0,0.4050632911392405
80,1,0.4,0,0.4125
81,1,0.4,0,0.41975308641975306
82,0,0.4,0,0.4146341463414634
83,1,0.4,0,0.42168674698795183
84,1,0.4,0,0.42857142857142855
85,1,0.4,0,0.43529411764705883
86,0,0.4,0,0.43023255813953487
87,1,0.4,0,0.4367816091954023
88,0,0.4,0,0.4318181818181818
89,1,0.4,0,0.43820224719101125
90,1,0.4,0,0.4444444444444444
91,1,0.4,0,0.45054945054945056
92,0,0.4,0,0.44565217391304346
93,0,0.4,0,0.44086021505376344
94,1,0.4,0,0.44680851063829785
95,1,0.4,0,0.45263157894736844
96,0,0.4,0,0.4479166666666667
97,1,0.4,0,0.4536082474226804
98,0,0.4,0,0.4489795918367347
99,0,0.4,0,0.4444444444444444
100,1,0.4,0,0.45
101,1,0.4,0,0.45544554455445546
102,0,0.4,0,0.45098039215686275
103,1,0.4,0,0.4563106796116505
104,0,0.4,0,0.4519230769230769
105,0,0.4,0,0.44761904761904764
106,0,0.4,0,0.44339622641509435
107,1,0.4,0,0.4485981308411215
108,1,0.4,0,0.4537037037037037
109,0,0.4,0,0.44954128440366975
110,0,0.4,0,0.44545454545454544
111,0,0.4,0,0.44144144144144143
112,0,0.4,0,0.4375
113,0,0.4,0,0.4336283185840708
114,1,0.4,0,0.43859649122807015
115,0,0.4,0,0.43478260869565216
116,1,0.4,0,0.4396551724137931
117,1,0.4,0,0.4444444444444444
118,0,0.4,0,0.4406779661016949
119,1,0.4,0,0.44537815126050423
120,1,0.4,0,0.45
1,0,0.5,0,0
2,0,0.5,0,0
3,0,0.5,0,0
4,1,0.5,0,0.25
5,0,0.5,0,0.2
6,1,0.5,0,0.3333333333333333
7,0,0.5,0,0.2857142857142857
8,1,0.5,0,0.375
9,0,0.5,0,0.3333333333333333
10,1,0.5,0,0.4
11,0,0.5,0,0.36363636363636365
12,1,0.5,0,0.4166666666666667
13,1,0.5,0,0.46153846153846156
14,0,0.5,0,0.42857142857142855
15,1,0.5,0,0.4666666666666667
16,1,0.5,0,0.5
17,1,0.5,0,0.5294117647058824
18,0,0.5,0,0.5
19,1,0.5,0,0.5263157894736842
20,0,0.5,0,0.5
21,1,0.5,0,0.5238095238095238
22,1,0.5,0,0.5454545454545454
23,1,0.5,0,0.5652173913043478
24,1,0.5,0,0.5833333333333334
25,1,0.5,0,0.6
26,0,0.5,0,0.5769230769230769
27,1,0.5,0,0.5925925925925926
28,1,0.5,0,0.6071428571428571
29,0,0.5,0,0.5862068965517241
30,0,0.5,0,0.5666666666666667
31,1,0.5,0,0.5806451612903226
32,0,0.5,0,0.5625
33,1,0.5,0,0.5757575757575758
34,1,0.5,0,0.5882352941176471
35,1,0.5,0,0.6
36,0,0.5,0,0.5833333333333334
37,0,0.5,0,0.5675675675675675
38,0,0.5,0,0.5526315789473685
39,1,0.5,0,0.5641025641025641
40,1,0.5,0,0.575
41,1,0.5,0,0.5853658536585366
42,0,0.5,0,0.5714285714285714
43,1,0.5,0,0.5813953488372093
44,0,0.5,0,0.5681818181818182
45,0,0.5,0,0.5555555555555556
46,1,0.5,0,0.5652173913043478
47,1,0.5,0,0.574468085106383
48,0,0.5,0,0.5625
49,0,0.5,0,0.5510204081632653
50,1,0.5,0,0.56
51,0,0.5,0,0.5490196078431373
52,0,0.5,0,0.5384615384615384
53,1,0.5,0,0.5471698113207547
54,0,0.5,0,0.5370370370370371
55,1,0.5,0,0.5454545454545454
56,0,0.5,0,0.5357142857142857
57,1,0.5,0,0.543859649122807
58,1,0.5,0,0.5517241379310345
59,1,0.5,0,0.559322033898305
60,1,0.5,0,0.5666666666666667
61,1,0.5,0,0.5737704918032787
62,1,0.5,0,0.5806451612903226
63,0,0.5,0,0.5714285714285714
64,0,0.5,0,0.5625
65,1,0.5,0,0.5692307692307692
66,1,0.5,0,0.5757575757575758
67,0,0.5,0,0.5671641791044776
68,0,0.5,0,0.5588235294117647
69,0,0.5,0,0.5507246376811594
70,1,0.5,0,0.5571428571428572
71,0,0.5,0,0.5492957746478874
72,1,0.5,0,0.5555555555555556
73,0,0.5,0,0.547945205479452
74,1,0.5,0,0.5540540540540541
75,1,0.5,0,0.56
76,0,0.5,0,0.5526315789473685
77,0,0.5,0,0.5454545454545454
78,1,0.5,0,0.5512820512820513
79,1,0.5,0,0.5569620253164557
80,1,0.5,0,0.5625
81,1,0.5,0,0.5679012345679012
82,0,0.5,0,0.5609756097560976
83,1,0.5,0,0.5662650602409639
84,0,0.5,0,0.5595238095238095
85,1,0.5,0,0.5647058823529412
86,0,0.5,0,0.5581395348837209
87,1,0.5,0,0.5632183908045977
88,0,0.5,0,0.5568181818181818
89,0,0.5,0,0.550561797752809
90,0,0.5,0,0.5444444444444444
91,1,0.5,0,0.5494505494505495
92,1,0.5,0,0.5543478260869565
93,1,0.5,0,0.5591397849462365
94,1,0.5,0,0.5638297872340425
95,0,0.5,0,0.5578947368421052
96,1,0.5,0,0.5625
97,0,0.5,0,0.5567010309278351
98,1,0.5,0,0.5612244897959183
99,1,0.5,0,0.5656565656565656
100,1,0.5,0,0.57
101,1,0.5,0,0.5742574257425742
102,1,0.5,0,0.5784313725490197
103,0,0.5,0,0.5728155339805825
104,1,0.5,0,0.5769230769230769
105,0,0.5,0,0.5714285714285714
106,1,0.5,0,0.5754716981132075
107,1,0.5,0,0.5794392523364486
108,1,0.5,0,0.5833333333333334
109,1,0.5,0,0.5871559633027523
110,1,0.5,0,0.5909090909090909
111,0,0.5,0,0.5855855855855856
112,1,0.5,0,0.5892857142857143
113,1,0.5,0,0.5929203539823009
114,1,0.5,0,0.5964912280701754
115,0,0.5,0,0.591304347826087
116,0,0.5,0,0.5862068965517241
117,0,0.5,0,0.5811965811965812
118,1,0.5,0,0.5847457627118644
119,1,0.5,0,0.5882352941176471
120,1,0.5,0,0.5916666666666667
1,1,0.6000000000000001,0,1
2,0,0.6000000000000001,0,0.5
3,0,0.6000000000000001,0,0.3333333333333333
4,1,0.6000000000000001,0,0.5
5,1,0.6000000000000001,0,0.6
6,0,0.6000000000000001,0,0.5
7,1,0.6000000000000001,0,0.5714285714285714
8,1,0.6000000000000001,0,0.625
9,1,0.6000000000000001,0,0.6666666666666666
10,1,0.6000000000000001,0,0.7
11,0,0.6000000000000001,0,0.6363636363636364
12,1,0.6000000000000001,0,0.6666666666666666
13,1,0.6000000000000001,0,0.6923076923076923
14,0,0.6000000000000001,0,0.6428571428571429
15,1,0.6000000000000001,0,0.6666666666666666
16,1,0.6000000000000001,0,0.6875
17,0,0.6000000000000001,0,0.6470588235294118
18,1,0.6000000000000001,0,0.6666666666666666
19,0,0.6000000000000001,0,0.631578947368421
20,0,0.6000000000000001,0,0.6
21,1,0.6000000000000001,0,0.6190476190476191
22,1,0.6000000000000001,0,0.6363636363636364
23,0,0.6000000000000001,0,0.6086956521739131
24,1,0.6000000000000001,0,0.625
25,0,0.6000000000000001,0,0.6
26,1,0.6000000000000001,0,0.6153846153846154
27,1,0.6000000000000001,0,0.6296296296296297
28,1,0.6000000000000001,0,0.6428571428571429
29,1,0.6000000000000001,0,0.6551724137931034
30,1,0.6000000000000001,0,0.6666666666666666
31,0,0.6000000000000001,0,0.6451612903225806
32,0,0.6000000000000001,0,0.625
33,0,0.6000000000000001,0,0.6060606060606061
34,0,0.6000000000000001,0,0.5882352941176471
35,0,0.6000000000000001,0,0.5714285714285714
36,1,0.6000000000000001,0,0.5833333333333334
37,1,0.6000000000000001,0,0.5945945945945946
38,1,0.6000000000000001,0,0.6052631578947368
39,1,0.6000000000000001,0,0.6153846153846154
40,0,0.6000000000000001,0,0.6
41,1,0.6000000000000001,0,0.6097560975609756
42,0,0.6000000000000001,0,0.5952380952380952
43,1,0.6000000000000001,0,0.6046511627906976
44,1,0.6000000000000001,0,0.6136363636363636
45,0,0.6000000000000001,0,0.6
46,1,0.6000000000000001,0,0.6086956521739131
47,1,0.6000000000000001,0,0.6170212765957447
48,0,0.6000000000000001,0,0.6041666666666666
49,0,0.6000000000000001,0,0.5918367346938775
50,1,0.6000000000000001,0,0.6
51,1,0.6000000000000001,0,0.6078431372549019
52,1,0.6000000000000001,0,0.6153846153846154
53,1,0.6000000000000001,0,0.6226415094339622
54,1,0.6000000000000001,0,0.6296296296296297
55,1,0.6000000000000001,0,0.6363636363636364
56,1,0.6000000000000001,0,0.6428571428571429
